source;target;pre_link;post_link
67546;44357;0;1
10386;44358;1;1
44361;44358;0;1
44397;44358;1;1
82258;44358;0;1
44360;44358;1;1
55133;44358;1;1
44364;44358;0;1
85923;44358;0;1
44392;44358;0;1
44371;44358;0;1
10382;44358;1;0
44387;44358;1;1
10387;44358;0;1
44368;44358;1;1
44379;44358;1;0
71225;44359;1;0
10383;44359;1;1
44396;44359;1;0
44369;44359;0;1
44384;44359;1;0
10382;44359;1;0
44397;44359;1;0
44382;44359;1;0
44358;44360;1;1
44397;44360;1;1
44364;44360;0;1
55133;44360;1;1
44361;44360;0;1
10382;44360;1;0
44379;44360;1;0
44371;44361;1;1
44360;44361;0;1
69138;44361;0;1
44395;44361;1;1
44392;44361;1;1
44358;44361;0;1
44364;44361;0;1
55133;44361;0;1
44386;44361;1;0
44397;44361;0;1
44392;44363;1;0
44370;44363;1;0
44368;44364;0;1
10387;44364;0;1
82258;44364;0;1
55133;44364;0;1
44397;44364;0;1
44358;44364;0;1
44360;44364;0;1
44361;44364;0;1
85923;44364;0;1
10386;44364;0;1
44392;44364;0;1
44387;44364;0;1
44369;44365;1;1
44395;44365;1;0
10366;44365;0;1
44386;44365;1;0
10369;44365;0;1
44357;44365;0;1
78692;44365;0;1
44377;44366;1;0
44369;44366;1;1
78160;44366;0;1
67546;44366;0;1
78692;44366;0;1
44393;44366;1;1
44357;44366;1;1
44395;44366;0;1
44389;44367;1;0
44357;44367;1;0
44377;44367;1;0
44369;44367;1;0
44381;44367;1;0
44387;44368;1;1
10529;44368;1;1
10387;44368;1;1
44392;44368;0;1
44364;44368;0;1
82258;44368;0;1
44358;44368;1;1
44500;44368;1;1
44477;44368;0;1
10386;44368;1;1
10380;44368;0;1
55133;44368;0;1
44395;44368;0;1
10523;44368;0;1
85923;44368;0;1
44397;44368;0;1
40767;44369;1;1
10383;44369;0;1
67546;44369;0;1
44393;44369;1;1
54852;44369;0;1
40771;44369;1;0
44383;44369;0;1
69138;44369;0;1
78692;44369;1;1
44382;44369;0;1
10369;44369;0;1
44366;44369;1;1
44379;44369;0;1
40773;44369;0;1
44394;44369;0;1
10366;44369;0;1
44359;44369;0;1
44365;44369;1;1
10380;44369;0;1
44377;44369;1;1
44495;44369;0;1
10385;44369;0;1
44357;44369;1;1
44367;44369;1;0
44389;44369;1;0
44395;44369;0;1
2667;44370;0;1
44377;44370;1;0
44384;44370;1;1
44395;44370;0;1
44392;44370;1;1
44382;44370;1;1
10387;44370;1;0
44391;44370;1;1
69138;44370;1;0
10382;44370;1;0
44381;44370;1;1
44396;44370;1;0
60620;44370;1;1
44393;44370;1;1
44363;44370;1;0
10380;44371;0;1
44358;44371;0;1
44361;44371;1;1
44392;44371;1;1
82258;44371;0;1
44379;44371;1;1
44397;44371;0;1
69138;44371;0;1
44385;44371;0;1
10379;44371;1;0
10385;44371;0;1
44378;44372;1;0
44381;44374;1;1
44392;44375;1;0
70376;44376;1;1
71225;44376;1;0
44383;44376;1;1
44392;44376;1;1
44379;44376;1;0
44396;44376;1;0
40767;44377;1;1
44381;44377;1;1
10386;44377;1;0
44369;44377;1;1
44382;44377;1;0
44393;44377;1;0
10380;44377;1;0
44357;44377;1;0
44370;44377;1;0
69138;44377;1;0
40771;44377;1;0
44367;44377;1;0
44366;44377;1;0
44372;44378;1;0
44394;44379;1;1
44393;44379;1;0
44397;44379;1;0
10387;44379;1;0
44387;44379;1;0
10383;44379;1;0
71225;44379;1;0
44371;44379;1;1
44376;44379;1;0
9761;44379;1;0
44396;44379;1;0
44392;44379;1;0
44369;44379;0;1
44360;44379;1;0
10380;44379;1;0
78692;44379;1;0
9763;44379;1;0
44358;44379;1;0
69138;44381;1;0
10386;44381;1;0
44377;44381;1;1
44370;44381;1;1
10380;44381;1;0
44393;44381;1;0
44382;44381;1;0
44374;44381;1;1
44357;44381;1;0
44367;44381;1;0
70376;44381;1;0
44395;44382;0;1
44381;44382;1;0
44396;44382;1;0
44393;44382;1;1
44384;44382;1;1
10382;44382;1;0
44370;44382;1;1
44479;44382;0;1
60620;44382;1;1
10380;44382;0;1
2667;44382;0;1
44359;44382;1;0
44392;44382;0;1
10383;44382;1;0
10387;44382;1;0
44391;44382;0;1
44369;44382;0;1
78692;44382;0;1
44377;44382;1;0
44392;44383;0;1
44369;44383;0;1
10385;44383;0;1
70376;44383;1;1
69138;44383;0;1
78692;44383;1;0
10387;44383;1;0
44376;44383;1;1
9229;44383;0;1
10386;44383;0;1
44394;44383;1;0
44370;44384;1;1
44393;44384;1;1
44382;44384;1;1
44391;44384;0;1
60620;44384;1;1
2667;44384;0;1
44396;44384;1;0
10382;44384;1;0
44395;44384;0;1
10387;44384;1;0
44359;44384;1;0
44392;44384;1;1
44479;44384;0;1
10383;44384;1;0
69138;44385;1;1
103467;44385;0;1
10381;44385;0;1
44371;44385;0;1
10385;44385;1;1
44395;44386;1;0
44361;44386;1;0
44365;44386;1;0
44368;44387;1;1
10386;44387;1;1
10387;44387;1;1
44379;44387;1;0
10380;44387;1;0
10529;44387;1;0
44500;44387;1;0
44358;44387;1;1
44364;44387;0;1
44367;44389;1;0
44369;44389;1;0
44357;44389;1;0
44392;44391;1;1
60620;44391;0;1
44370;44391;1;1
44384;44391;0;1
44382;44391;0;1
10382;44391;0;1
44370;44392;1;1
44395;44392;0;1
9763;44392;0;1
85923;44392;0;1
44396;44392;1;1
71225;44392;1;0
78692;44392;0;1
44371;44392;1;1
82258;44392;0;1
44363;44392;1;0
67546;44392;1;0
70376;44392;1;1
44391;44392;1;1
10387;44392;1;1
55133;44392;0;1
